Chromosome	Start	End	Clinical.Exon
chr11	108317371	108317520	exon_43
chr11	108319944	108320064	exon_44
chr11	108321299	108321419	exon_45
chr11	108325308	108325543	exon_46
chr11	108326056	108326224	exon_47
chr11	108327640	108327760	exon_48
chr11	108329019	108329237	exon_49
chr11	108330212	108330420	exon_50
chr11	108331439	108331559	exon_51
chr11	108331877	108332036	exon_52
chr11	108332760	108332899	exon_53
chr11	108333850	108333970	exon_54
chr11	108334967	108335108	exon_55
chr11	108335841	108335961	exon_56
chr11	108343220	108343370	exon_57
chr11	108345741	108345907	exon_58
chr11	108347251	108347371	exon_59
chr11	108353761	108353881	exon_60
chr11	108354755	108354875	exon_61
chr11	108365080	108365217	exon_62
chr11	108365323	108369101	exon_63
chr11	118436490	118436943	exon_1
chr11	118468762	118468882	exon_2
chr11	118471660	118474314	exon_3
chr11	118476803	118476981	exon_4
chr11	118477965	118478200	exon_5
chr11	118480158	118480278	exon_6
chr11	118481713	118482091	exon_7
chr11	118482419	118482539	exon_8
chr11	118484181	118484313	exon_9
chr11	118484857	118484977	exon_10
chr11	118488612	118488759	exon_11
chr11	118489787	118489907	exon_12
chr11	118490127	118490247	exon_13
chr11	118491195	118491315	exon_14
chr11	118491742	118491927	exon_15
chr11	118493055	118493229	exon_16
chr11	118494281	118494401	exon_17
chr11	118494690	118494810	exon_18
chr11	118495698	118495892	exon_19
chr11	118496252	118496372	exon_20
chr11	118497934	118498072	exon_21
chr11	118498368	118498527	exon_22
chr11	118499300	118499420	exon_23
chr11	118499827	118499947	exon_24
chr11	118500985	118501146	exon_25
chr11	118501670	118501856	exon_26
chr11	118502396	118506645	exon_27
chr11	118507520	118507640	exon_28
chr11	118509130	118509250	exon_29
chr11	118509946	118510117	exon_30
chr11	118511941	118512061	exon_31
chr11	118519616	118519791	exon_32
chr11	118519949	118520069	exon_33
chr11	118520783	118520903	exon_34
chr11	118521291	118521411	exon_35
chr11	118521895	118526831	exon_36
chr11	119206337	119206611	exon_1
chr11	119232446	119232694	exon_2
chr11	119271733	119271880	exon_3
chr11	119273866	119274023	exon_4
chr11	119274831	119274951	exon_5
chr11	119275995	119276133	exon_6
chr11	119277732	119277852	exon_7
chr11	119278164	119278296	exon_8
chr11	119278508	119278712	exon_9
chr11	119284967	119285099	exon_10
chr11	119285187	119285565	exon_11
chr11	119287842	119287962	exon_12
chr11	119296914	119297034	exon_13
chr11	119297362	119297482	exon_14
chr11	119298356	119298539	exon_15
chr11	119299493	119308148	exon_16
chr12	11649672	11650159	exon_1
chr12	11752453	11752573	exon_2
chr12	11839138	11839303	exon_3
chr12	11853425	11853560	exon_4
chr12	11869422	11869968	exon_5
chr12	11884443	11884586	exon_6
chr12	11885917	11886037	exon_7
chr12	11890939	11895376	exon_8
chr12	12717366	12718313	exon_1
chr12	12718828	12718948	exon_2
chr12	12721034	12722368	exon_3
chr12	22625169	22625585	exon_1
chr12	22643761	22644021	exon_2
chr12	22659012	22659153	exon_3
chr12	22661061	22661204	exon_4
chr12	22671252	22671372	exon_5
chr12	22673498	22673659	exon_6
chr12	22684480	22684600	exon_7
chr12	22684880	22690664	exon_8
chr12	25205244	25209910	exon_5
chr12	25225612	25225772	exon_4
chr12	25227232	25227411	exon_3
chr12	25245273	25245393	exon_2
chr12	25250749	25250928	exon_1
chr12	49623516	49623636	exon_1
chr12	49630522	49630642	exon_2
chr12	49631399	49631543	exon_3
chr12	49631819	49631939	exon_4
chr12	49632514	49632634	exon_5
chr12	49632825	49632945	exon_6
chr12	49633007	49633127	exon_7
chr12	49633425	49633545	exon_8
chr12	49633588	49633708	exon_9
chr12	49633884	49634091	exon_10
chr12	49634332	49634452	exon_11
chr12	49634521	49634641	exon_12
chr12	49635097	49635262	exon_13
chr12	49635357	49635477	exon_14
chr12	49635841	49635992	exon_15
chr12	49636714	49636848	exon_16
chr12	49637465	49637585	exon_17
chr12	49637707	49637827	exon_18
chr12	49641904	49642024	exon_19
chr12	49642233	49642371	exon_20
chr12	49642570	49642690	exon_21
chr12	49642921	49643041	exon_22
chr12	49643221	49643396	exon_23
chr12	49643689	49643809	exon_24
chr12	49643859	49644003	exon_25
chr12	49644098	49644664	exon_26
chr12	54292109	54293380	exon_3
chr12	54295133	54295303	exon_2
chr12	54300799	54301014	exon_1
chr12	92140276	92144446	exon_2
chr12	92145386	92145845	exon_1
chr12	111405921	111406276	exon_1
chr12	111418117	111418876	exon_2
chr12	111446752	111446872	exon_3
chr12	111446920	111447040	exon_4
chr12	111447113	111447233	exon_5
chr12	111447328	111447543	exon_6
chr12	111447654	111447826	exon_7
chr12	111447981	111451622	exon_8
chr12	112418945	112419124	exon_1
chr12	112446275	112446395	exon_2
chr12	112450316	112450511	exon_3
chr12	112453193	112453386	exon_4
chr12	112454560	112454680	exon_5
chr12	112455945	112456065	exon_6
chr12	112472939	112473059	exon_7
chr12	112477611	112477731	exon_8
chr12	112477855	112478014	exon_9
chr12	112482072	112482204	exon_10
chr12	112486473	112486628	exon_11
chr12	112488415	112488535	exon_12
chr12	112489022	112489174	exon_13
chr12	112502138	112502258	exon_14
chr12	112504681	112504801	exon_15
chr12	112505823	112509917	exon_16
chr12	121803993	121804248	exon_1
chr12	121804722	121804910	exon_2
chr12	121805102	121805222	exon_3
chr12	121805833	121806104	exon_4
chr12	121808202	121808322	exon_5
chr12	121809601	121810834	exon_6
chr12	121814104	121814929	exon_7
chr12	121817031	121817293	exon_8
chr12	121817368	121817703	exon_9
chr12	121817790	121817910	exon_10
chr12	121819402	121819894	exon_11
chr12	121822488	121823748	exon_12
chr12	121825198	121825365	exon_13
chr12	121827517	121827649	exon_14
chr12	121827733	121827853	exon_15
chr12	121827931	121828069	exon_16
chr12	121830064	121832655	exon_17
chr13	28003272	28004173	exon_24
chr13	28014443	28014563	exon_23
chr13	28015143	28015263	exon_22
chr13	28015584	28015704	exon_21
chr13	28018466	28018586	exon_20
chr13	28023352	28023472	exon_19
chr13	28024824	28024944	exon_18
chr13	28027086	28027240	exon_17
chr13	28028171	28028291	exon_16
chr13	28033877	28033997	exon_15
chr13	28034080	28034213	exon_14
chr13	28034292	28034412	exon_13
chr13	28035493	28035672	exon_12
chr13	28035927	28036047	exon_11
chr13	28037169	28037289	exon_10
chr13	28048273	28048442	exon_9
chr13	28049382	28049536	exon_8
chr13	28049633	28049773	exon_7
chr13	28050097	28050217	exon_6
chr13	28052548	28052668	exon_5
chr13	28057343	28057463	exon_4
chr13	28061865	28062068	exon_3
chr13	28070490	28070610	exon_2
chr13	28100460	28100580	exon_1
chr13	108207440	108211295	exon_3
chr13	108214515	108214635	exon_2
chr13	108215440	108215560	exon_1
chr14	99169285	99176194	exon_4
chr14	99231343	99231556	exon_3
chr14	99257469	99257838	exon_2
chr14	99271159	99272196	exon_1
chr14	104769347	104770419	exon_15
chr14	104770737	104770857	exon_14
chr14	104772360	104772480	exon_13
chr14	104772876	104773091	exon_12
chr14	104773253	104773373	exon_11
chr14	104773456	104773576	exon_10
chr14	104773884	104774004	exon_9
chr14	104774909	104775029	exon_8
chr14	104775074	104775206	exon_7
chr14	104775650	104775798	exon_6
chr14	104776653	104776773	exon_5
chr14	104780090	104780210	exon_4
chr14	104792598	104792718	exon_3
chr14	104793125	104793303	exon_2
chr15	40695172	40695424	exon_1
chr15	40698750	40698870	exon_2
chr15	40701062	40701200	exon_3
chr15	40706174	40706294	exon_4
chr15	40709011	40709131	exon_5
chr15	40718789	40718909	exon_6
chr15	40728706	40728826	exon_7
chr15	40729508	40729628	exon_8
chr15	40729852	40729972	exon_9
chr15	40731053	40732339	exon_10
chr15	66386910	66387426	exon_1
chr15	66435025	66435236	exon_2
chr15	66436744	66436891	exon_3
chr15	66443247	66443367	exon_4
chr15	66444615	66444735	exon_5
chr15	66481755	66481875	exon_6
chr15	66484988	66485190	exon_7
chr15	66487223	66487343	exon_8
chr15	66489210	66489330	exon_9
chr15	66489666	66489786	exon_10
chr15	66490500	66491543	exon_11
chr16	14435699	14436771	exon_24
chr16	14446886	14447080	exon_23
chr16	14482636	14482826	exon_22
chr16	14552019	14552139	exon_21
chr16	14554041	14554161	exon_20
chr16	14555594	14555714	exon_19
chr16	14580824	14580944	exon_18
chr16	14582174	14582294	exon_17
chr16	14584319	14584439	exon_16
chr16	14584673	14584793	exon_15
chr16	14586288	14586408	exon_14
chr16	14593278	14593398	exon_13
chr16	14599845	14599965	exon_12
chr16	14604107	14604227	exon_11
chr16	14606459	14606579	exon_10
chr16	14608236	14608356	exon_9
chr16	14609010	14609130	exon_8
chr16	14610642	14610808	exon_7
chr16	14617575	14617695	exon_6
chr16	14627096	14627216	exon_5
chr16	14627227	14627347	exon_4
chr16	14628136	14628256	exon_3
chr16	14629577	14629697	exon_2
chr16	14630105	14630259	exon_1
chr16	67562524	67562723	exon_1
chr16	67571144	67571264	exon_2
chr16	67610822	67611612	exon_3
chr16	67611949	67612120	exon_4
chr16	67616743	67616877	exon_5
chr16	67620695	67620815	exon_6
chr16	67621440	67621590	exon_7
chr16	67626553	67626714	exon_8
chr16	67628368	67628551	exon_9
chr16	67629396	67629532	exon_10
chr16	67636688	67636850	exon_11
chr16	67637686	67639176	exon_12
chr16	81779289	81779423	exon_1
chr16	81785941	81786181	exon_2
chr16	81854442	81854586	exon_3
chr16	81858246	81858366	exon_4
chr16	81859110	81859230	exon_5
chr16	81869179	81869299	exon_6
chr16	81870846	81870966	exon_7
chr16	81880876	81880996	exon_8
chr16	81883223	81883343	exon_9
chr16	81889168	81889288	exon_10
chr16	81891469	81891589	exon_11
chr16	81893691	81893811	exon_12
chr16	81895805	81895925	exon_13
chr16	81900610	81900779	exon_14
chr16	81905393	81905513	exon_15
chr16	81907660	81907780	exon_16
chr16	81908414	81908590	exon_17
chr16	81910518	81910719	exon_18
chr16	81912595	81912715	exon_19
chr16	81919482	81919663	exon_20
chr16	81921193	81921313	exon_21
chr16	81923478	81923598	exon_22
chr16	81927066	81927186	exon_23
chr16	81928556	81928676	exon_24
chr16	81931495	81931653	exon_25
chr16	81934413	81934533	exon_26
chr16	81936167	81936377	exon_27
chr16	81937756	81937902	exon_28
chr16	81938796	81938916	exon_29
chr16	81939890	81940058	exon_30
chr16	81946145	81946265	exon_31
chr16	81956693	81956878	exon_32
chr16	81957954	81962684	exon_33
chr17	1650627	1650955	exon_43
chr17	1651106	1651309	exon_42
chr17	1651412	1651552	exon_41
chr17	1651646	1651787	exon_40
chr17	1653540	1653682	exon_39
chr17	1653775	1654015	exon_38
chr17	1655348	1655542	exon_37
chr17	1656390	1656564	exon_36
chr17	1656643	1656763	exon_35
chr17	1658255	1658375	exon_34
chr17	1658524	1658762	exon_33
chr17	1659355	1659547	exon_32
chr17	1659839	1660000	exon_31
chr17	1660430	1660577	exon_30
chr17	1660701	1660821	exon_29
chr17	1660991	1661161	exon_28
chr17	1661269	1661405	exon_27
chr17	1661609	1661789	exon_26
chr17	1661904	1662152	exon_25
chr17	1673077	1673197	exon_24
chr17	1673355	1673566	exon_23
chr17	1673744	1673891	exon_22
chr17	1674440	1674679	exon_21
chr17	1675150	1675338	exon_20
chr17	1675618	1675811	exon_19
chr17	1675929	1676049	exon_18
chr17	1676205	1676369	exon_17
chr17	1676503	1676710	exon_16
chr17	1676974	1677171	exon_15
chr17	1677568	1677688	exon_14
chr17	1678516	1678651	exon_13
chr17	1678760	1678880	exon_12
chr17	1679015	1679205	exon_11
chr17	1679289	1679409	exon_10
chr17	1679607	1679798	exon_9
chr17	1680717	1680837	exon_8
chr17	1680930	1681050	exon_7
chr17	1681476	1681689	exon_6
chr17	1681818	1682037	exon_5
chr17	1682127	1682292	exon_4
chr17	1683531	1683700	exon_3
chr17	1684465	1684585	exon_2
chr17	1684777	1684897	exon_1
chr17	7668419	7669689	exon_11
chr17	7670600	7670720	exon_10
chr17	7673512	7673632	exon_9
chr17	7673699	7673836	exon_8
chr17	7674174	7674294	exon_7
chr17	7674853	7674973	exon_6
chr17	7675051	7675235	exon_5
chr17	7675992	7676271	exon_4
chr17	7676344	7676464	exon_3
chr17	7676516	7676636	exon_2
chr17	7687372	7687492	exon_1
chr17	7834215	7834349	exon_1
chr17	7839903	7840023	exon_2
chr17	7844899	7845019	exon_3
chr17	7845312	7845455	exon_4
chr17	7845548	7845690	exon_5
chr17	7845871	7845991	exon_6
chr17	7846076	7846296	exon_7
chr17	7846396	7846516	exon_8
chr17	7846577	7846739	exon_9
chr17	7846817	7847015	exon_10
chr17	7847103	7847451	exon_11
chr17	7847544	7849727	exon_12
chr17	7849822	7849942	exon_13
chr17	7850063	7850183	exon_14
chr17	7851019	7851225	exon_15
chr17	7851311	7851431	exon_16
chr17	7851436	7851556	exon_17
chr17	7851646	7851795	exon_18
chr17	7851946	7852066	exon_19
chr17	7852147	7852335	exon_20
chr17	7852493	7852635	exon_21
chr17	7853001	7853121	exon_22
chr17	7853208	7853379	exon_23
chr17	7853496	7854795	exon_24
chr17	31094975	31095368	exon_1
chr17	31155981	31156125	exon_2
chr17	31159002	31159122	exon_3
chr17	31163184	31163375	exon_4
chr17	31169882	31170002	exon_5
chr17	31181389	31181509	exon_6
chr17	31181677	31181797	exon_7
chr17	31182506	31182664	exon_8
chr17	31200420	31200594	exon_9
chr17	31201036	31201156	exon_10
chr17	31201386	31201506	exon_11
chr17	31206238	31206370	exon_12
chr17	31214449	31214584	exon_13
chr17	31219000	31219120	exon_14
chr17	31221849	31221969	exon_15
chr17	31223444	31223564	exon_16
chr17	31225093	31225249	exon_17
chr17	31226433	31226683	exon_18
chr17	31227198	31227318	exon_19
chr17	31227521	31227641	exon_20
chr17	31229023	31229464	exon_21
chr17	31229833	31229973	exon_22
chr17	31230259	31230379	exon_23
chr17	31230807	31230927	exon_24
chr17	31232070	31232190	exon_25
chr17	31232698	31232880	exon_26
chr17	31233000	31233212	exon_27
chr17	31235609	31235771	exon_28
chr17	31235902	31236022	exon_29
chr17	31248982	31249118	exon_30
chr17	31252896	31253016	exon_31
chr17	31258342	31258501	exon_32
chr17	31259025	31259145	exon_33
chr17	31260367	31260514	exon_34
chr17	31261709	31261856	exon_35
chr17	31265222	31265342	exon_36
chr17	31325818	31326251	exon_37
chr17	31327497	31327838	exon_38
chr17	31330294	31330497	exon_39
chr17	31334836	31335030	exon_40
chr17	31336331	31336472	exon_41
chr17	31336633	31336913	exon_42
chr17	31337366	31337581	exon_43
chr17	31337770	31337890	exon_44
chr17	31338020	31338140	exon_45
chr17	31338695	31338815	exon_46
chr17	31340503	31340644	exon_47
chr17	31343010	31343130	exon_48
chr17	31349118	31349250	exon_49
chr17	31350181	31350317	exon_50
chr17	31352255	31352413	exon_51
chr17	31356459	31356579	exon_52
chr17	31356963	31357083	exon_53
chr17	31357256	31357376	exon_54
chr17	31358478	31358621	exon_55
chr17	31358961	31359081	exon_56
chr17	31360485	31360702	exon_57
chr17	31374011	31377674	exon_58
chr17	31936991	31937519	exon_1
chr17	31940217	31940337	exon_2
chr17	31940406	31940526	exon_3
chr17	31947574	31947694	exon_4
chr17	31966145	31966265	exon_5
chr17	31973128	31973248	exon_6
chr17	31975480	31975712	exon_7
chr17	31976518	31976638	exon_8
chr17	31982990	31983110	exon_9
chr17	31988318	31988496	exon_10
chr17	31993233	31993353	exon_11
chr17	31993863	31994007	exon_12
chr17	31994562	31994720	exon_13
chr17	31995562	31995761	exon_14
chr17	31996763	31996883	exon_15
chr17	31998656	32001037	exon_16
chr17	42199175	42201863	exon_19
chr17	42202332	42202452	exon_18
chr17	42202714	42202834	exon_17
chr17	42207556	42207727	exon_16
chr17	42210174	42210294	exon_15
chr17	42210396	42210516	exon_14
chr17	42211982	42212189	exon_13
chr17	42216002	42216122	exon_12
chr17	42217159	42217279	exon_11
chr17	42217352	42217472	exon_10
chr17	42218149	42218329	exon_9
chr17	42218721	42218877	exon_8
chr17	42219310	42219462	exon_7
chr17	42219715	42219835	exon_6
chr17	42223380	42223555	exon_5
chr17	42224764	42224884	exon_4
chr17	42227527	42227684	exon_3
chr17	42231998	42232136	exon_2
chr17	42276246	42276390	exon_1
chr17	42313322	42315799	exon_24
chr17	42316783	42316903	exon_23
chr17	42317112	42317232	exon_22
chr17	42322280	42322493	exon_21
chr17	42323002	42323142	exon_20
chr17	42323242	42323362	exon_19
chr17	42323508	42323628	exon_18
chr17	42324709	42324845	exon_17
chr17	42324943	42325063	exon_16
chr17	42326096	42326216	exon_15
chr17	42329372	42329492	exon_14
chr17	42329530	42329650	exon_13
chr17	42329677	42329797	exon_12
chr17	42331412	42331532	exon_11
chr17	42333662	42333782	exon_10
chr17	42333889	42334048	exon_9
chr17	42337433	42337585	exon_8
chr17	42337755	42337875	exon_7
chr17	42338697	42338817	exon_6
chr17	42339300	42339420	exon_5
chr17	42345554	42345674	exon_4
chr17	42346567	42346712	exon_3
chr17	42348387	42348538	exon_2
chr17	42388277	42388441	exon_1
chr17	44205038	44207366	exon_21
chr17	44207452	44207596	exon_20
chr17	44207690	44207810	exon_19
chr17	44207843	44207963	exon_18
chr17	44209350	44209540	exon_17
chr17	44209629	44209749	exon_16
chr17	44210117	44210237	exon_15
chr17	44210316	44210472	exon_14
chr17	44210790	44210946	exon_13
chr17	44211034	44211154	exon_12
chr17	44211272	44211392	exon_11
chr17	44211604	44211746	exon_10
chr17	44211871	44212005	exon_9
chr17	44212337	44212457	exon_8
chr17	44212817	44212937	exon_7
chr17	44213207	44213327	exon_6
chr17	44215652	44215808	exon_5
chr17	44215900	44216020	exon_4
chr17	44216527	44216703	exon_3
chr17	44218172	44218292	exon_2
chr17	44219443	44219674	exon_1
chr17	58692600	58692787	exon_1
chr17	58694929	58695188	exon_2
chr17	58696691	58696858	exon_3
chr17	58703194	58703328	exon_4
chr17	58709857	58709989	exon_5
chr17	58720708	58720828	exon_6
chr17	58723997	58724117	exon_7
chr17	58732469	58732589	exon_8
chr17	58734116	58735622	exon_9
chr17	60600191	60600885	exon_1
chr17	60623519	60623748	exon_2
chr17	60633853	60633973	exon_3
chr17	60647890	60648081	exon_4
chr17	60656597	60656840	exon_5
chr17	60662993	60666279	exon_6
chr17	76734113	76735157	exon_3
chr17	76736152	76736463	exon_2
chr17	76736797	76737330	exon_1
chr18	44680886	44681020	exon_1
chr18	44701173	44701831	exon_2
chr18	44869225	44869345	exon_3
chr18	44949879	44953339	exon_4
chr18	45038483	45038654	exon_5
chr18	45063077	45068509	exon_6
chr18	63123344	63128758	exon_3
chr18	63318080	63318951	exon_2
chr18	63319172	63319768	exon_1
chr19	852296	852416	exon_1
chr19	852874	853031	exon_2
chr19	853260	853402	exon_3
chr19	855562	855793	exon_4
chr19	855956	856242	exon_5
chr19	4043287	4048243	exon_3
chr19	4053969	4055246	exon_2
chr19	4066680	4066898	exon_1
chr19	10133344	10133700	exon_41
chr19	10134209	10134329	exon_40
chr19	10135732	10135852	exon_39
chr19	10136119	10136286	exon_38
chr19	10137083	10137279	exon_37
chr19	10137830	10138008	exon_36
chr19	10138437	10138604	exon_35
chr19	10139674	10139816	exon_34
chr19	10140044	10140327	exon_33
chr19	10140783	10140903	exon_32
chr19	10141099	10141219	exon_31
chr19	10142026	10142219	exon_30
chr19	10143764	10143986	exon_29
chr19	10146349	10146523	exon_28
chr19	10148882	10149016	exon_27
chr19	10149451	10149656	exon_26
chr19	10149849	10149969	exon_25
chr19	10151396	10151544	exon_24
chr19	10151743	10151863	exon_23
chr19	10154291	10154478	exon_22
chr19	10154584	10154772	exon_21
chr19	10154903	10155055	exon_20
chr19	10155834	10155954	exon_19
chr19	10156388	10156508	exon_18
chr19	10159651	10159771	exon_17
chr19	10159824	10159944	exon_16
chr19	10159972	10160092	exon_15
chr19	10160378	10160498	exon_14
chr19	10162652	10162772	exon_13
chr19	10163271	10163391	exon_12
chr19	10166576	10166696	exon_11
chr19	10168264	10168384	exon_10
chr19	10173080	10173200	exon_9
chr19	10173859	10173979	exon_8
chr19	10175515	10175635	exon_7
chr19	10177248	10177368	exon_6
chr19	10180348	10180568	exon_4
chr19	10180770	10180890	exon_3
chr19	10181981	10182101	exon_2
chr19	10194818	10194952	exon_1
chr19	11377205	11378594	exon_8
chr19	11378687	11378807	exon_7
chr19	11380868	11380988	exon_6
chr19	11381054	11381208	exon_5
chr19	11381690	11381848	exon_4
chr19	11381928	11382104	exon_3
chr19	11383095	11383231	exon_2
chr19	11384091	11384313	exon_1
chr19	12943711	12944488	exon_9
chr19	15159036	15161713	exon_33
chr19	15162454	15162574	exon_32
chr19	15165366	15165514	exon_31
chr19	15165785	15166090	exon_30
chr19	15167247	15167410	exon_29
chr19	15170079	15170199	exon_28
chr19	15170329	15170552	exon_27
chr19	15170669	15170824	exon_26
chr19	15174066	15174399	exon_25
chr19	15177523	15178089	exon_24
chr19	15178820	15178940	exon_23
chr19	15179023	15179281	exon_22
chr19	15179362	15179495	exon_21
chr19	15180070	15180255	exon_20
chr19	15180679	15180827	exon_19
chr19	15180959	15181161	exon_18
chr19	15181574	15181800	exon_17
chr19	15184293	15184449	exon_16
chr19	15184901	15185021	exon_15
chr19	15185255	15185407	exon_14
chr19	15185485	15185678	exon_13
chr19	15186871	15186991	exon_12
chr19	15187103	15187337	exon_11
chr19	15187876	15187996	exon_10
chr19	15188230	15188350	exon_9
chr19	15188987	15189173	exon_8
chr19	15189271	15189427	exon_7
chr19	15191422	15191656	exon_6
chr19	15191744	15191864	exon_5
chr19	15191958	15192297	exon_4
chr19	15192375	15192518	exon_3
chr19	15197489	15197609	exon_2
chr19	15200786	15200994	exon_1
chr19	23357694	23362724	exon_4
chr19	23373720	23373840	exon_3
chr19	23395323	23395470	exon_1
chr19	33299932	33302533	exon_1
chr19	49635290	49635659	exon_6
chr19	49635731	49635851	exon_5
chr19	49636611	49636731	exon_4
chr19	49636817	49636937	exon_3
chr19	49637014	49637134	exon_2
chr19	49639944	49640142	exon_1
chr19	55655032	55655152	exon_1
chr19	55659208	55659344	exon_2
chr19	55660152	55660272	exon_3
chr19	55660504	55660624	exon_4
chr19	55661036	55661188	exon_5
chr19	55662498	55662618	exon_6
chr19	55663604	55663743	exon_7
chr19	55668473	55668593	exon_8
chr19	55668669	55668789	exon_9
chr19	55669073	55669193	exon_10
chr19	55669442	55669691	exon_11
chr19	55673932	55674715	exon_12
chr20	32358329	32358831	exon_1
chr20	32366377	32366497	exon_2
chr20	32367668	32367788	exon_3
chr20	32369007	32369127	exon_4
chr20	32428126	32428246	exon_5
chr20	32428320	32428440	exon_6
chr20	32429324	32429444	exon_7
chr20	32429899	32430052	exon_8
chr20	32431319	32431483	exon_9
chr20	32431570	32431690	exon_10
chr20	32432871	32432991	exon_11
chr20	32433282	32433916	exon_12
chr20	32434430	32439318	exon_13
chr20	58891420	58891864	exon_1
chr20	58895607	58895727	exon_2
chr20	58898896	58899016	exon_3
chr20	58903509	58903629	exon_4
chr20	58903670	58903790	exon_5
chr20	58905369	58905489	exon_6
chr20	58909100	58909220	exon_7
chr20	58909311	58909431	exon_8
chr20	58909514	58909634	exon_9
chr20	58909682	58909802	exon_10
chr20	58909954	58910074	exon_11
chr20	58910309	58910429	exon_12
chr20	58910681	58911080	exon_13
chr21	34787799	34792609	exon_9
chr21	34799299	34799461	exon_8
chr21	34834408	34834600	exon_7
chr21	34859464	34859584	exon_6
chr21	34880555	34880712	exon_5
chr21	34886841	34887095	exon_4
chr21	34892906	34893026	exon_3
chr21	35048838	35048958	exon_2
chr21	35049166	35049301	exon_1
chr21	38380034	38383922	exon_10
chr21	38390980	38391100	exon_9
chr21	38391607	38391727	exon_8
chr21	38392360	38392480	exon_7
chr21	38400529	38400649	exon_6
chr21	38402519	38402639	exon_5
chr21	38403504	38403708	exon_4
chr21	38423408	38423560	exon_3
chr21	38445402	38445620	exon_2
chr21	38498358	38498478	exon_1
chr21	43092954	43093248	exon_8
chr21	43094445	43094565	exon_7
chr21	43094653	43094787	exon_6
chr21	43095434	43095554	exon_5
chr21	43095648	43095768	exon_4
chr21	43100408	43100528	exon_3
chr21	43104302	43104422	exon_2
chr21	43107449	43107569	exon_1
chr22	27748275	27751095	exon_2
chr22	27796761	27801755	exon_1
chr22	30331986	30334694	exon_16
chr22	30335441	30335561	exon_15
chr22	30335641	30335761	exon_14
chr22	30337024	30337179	exon_13
chr22	30337688	30337896	exon_12
chr22	30338787	30339033	exon_11
chr22	30339129	30339249	exon_10
chr22	30340194	30340380	exon_9
chr22	30340692	30340812	exon_8
chr22	30341690	30341884	exon_7
chr22	30342198	30342349	exon_6
chr22	30342762	30342882	exon_5
chr22	30344931	30345189	exon_4
chr22	30346310	30346518	exon_3
chr22	30352950	30353070	exon_2
chr22	30356728	30356893	exon_1
chrX	15319454	15321771	exon_6
chrX	15324663	15324870	exon_5
chrX	15325018	15325151	exon_4
chrX	15325912	15326045	exon_3
chrX	15331214	15331991	exon_2
chrX	15335463	15335583	exon_1
chrX	15790439	15790559	exon_1
chrX	15790900	15791020	exon_2
chrX	15799865	15799985	exon_3
chrX	15803680	15803800	exon_4
chrX	15804109	15804229	exon_5
chrX	15808153	15808273	exon_6
chrX	15809197	15809317	exon_7
chrX	15815675	15815889	exon_8
chrX	15818561	15818681	exon_9
chrX	15820200	15820320	exon_10
chrX	15822729	15823259	exon_11
chrX	40051249	40052399	exon_15
chrX	40053884	40054041	exon_14
chrX	40054223	40054343	exon_13
chrX	40055366	40055512	exon_12
chrX	40057153	40057320	exon_11
chrX	40062137	40062392	exon_10
chrX	40062744	40063070	exon_9
chrX	40063606	40063951	exon_8
chrX	40064334	40064598	exon_7
chrX	40070971	40071158	exon_6
chrX	40071619	40071739	exon_5
chrX	40072347	40075179	exon_4
chrX	40076416	40076536	exon_3
chrX	40077845	40077965	exon_2
chrX	40097213	40097957	exon_1
chrX	41334160	41334296	exon_1
chrX	41337370	41337490	exon_2
chrX	41339030	41339150	exon_3
chrX	41341482	41341615	exon_4
chrX	41342493	41342652	exon_5
chrX	41342733	41342853	exon_6
chrX	41343214	41343350	exon_7
chrX	41343707	41343827	exon_8
chrX	41344027	41344147	exon_9
chrX	41344237	41344398	exon_10
chrX	41345178	41345323	exon_11
chrX	41345402	41345547	exon_12
chrX	41346227	41346409	exon_13
chrX	41346502	41346622	exon_14
chrX	41346857	41347011	exon_15
chrX	41347310	41347450	exon_16
chrX	41347638	41350273	exon_17
chrX	44873186	44873711	exon_1
chrX	44873882	44874002	exon_2
chrX	44961276	44961396	exon_3
chrX	44974641	44974761	exon_4
chrX	45010945	45011065	exon_5
chrX	45020608	45020728	exon_6
chrX	45034911	45035031	exon_7
chrX	45037575	45037695	exon_8
chrX	45051683	45051803	exon_9
chrX	45053830	45053950	exon_10
chrX	45058991	45059111	exon_11
chrX	45059245	45059465	exon_12
chrX	45060020	45060155	exon_13
chrX	45060607	45060763	exon_14
chrX	45061310	45061430	exon_15
chrX	45062639	45062759	exon_16
chrX	45063420	45063816	exon_17
chrX	45069577	45070356	exon_18
chrX	45076700	45076820	exon_19
chrX	45078391	45078511	exon_20
chrX	45079144	45079350	exon_21
chrX	45082528	45082648	exon_22
chrX	45082681	45082801	exon_23
chrX	45083458	45083607	exon_24
chrX	45085860	45085980	exon_25
chrX	45089741	45089929	exon_26
chrX	45090721	45090863	exon_27
chrX	45107411	45107531	exon_28
chrX	45110077	45110248	exon_29
chrX	45111380	45112778	exon_30
chrX	47193827	47194023	exon_1
chrX	47198799	47198919	exon_2
chrX	47198990	47199110	exon_3
chrX	47199207	47199376	exon_4
chrX	47199478	47199613	exon_5
chrX	47200885	47201005	exon_6
chrX	47201260	47201380	exon_7
chrX	47201476	47201609	exon_8
chrX	47202144	47202264	exon_9
chrX	47202356	47202503	exon_10
chrX	47202636	47202813	exon_11
chrX	47202933	47203053	exon_12
chrX	47203115	47203235	exon_13
